Zeitraum;CDU/CSU;SPD;FDP;Bündnis 90/ Die Grünen;Die Linke;Alternative für Deutschland (AfD);Sonstige Parteien
05.08 - 17.08.2021;27,5;19,5;11;17,5;7,5;11;6
03.07 - 22.07.2021;30;16;12;19,5;7;9,5;6
28.05 - 09.06.2021;29,5;17;11;21,5;7;9;5
01.05 - 13.05.2021;27,5;16;10;24;6,5;10;6
23.04 - 06.05.2021;26;17;10;26;7;9;5
06.04 - 15.04.2021;28;16,5;10;23;7,5;9,5;5,5
08.03 - 21.03.2021;28,5;18;8,5;21,5;8,5;10;5
04.02 - 17.02.2021;37;15;7;20;7;9,5;4,5
10.01 - 20.01.2021;37;16;6,5;20;7,5;9;4
28.11 - 10.12.2020;37;16,5;7;19;7;9;4,5
01.11 - 11.11.2020;37;17;6,5;18;7,5;9,5;4,5
07.10 - 20.10.2020;35,5;17;6;20;7;10;4,5
04.09 - 16.09.2020;37;17;6;19,5;7;9;4,5
05.08 - 18.08.2020;38;17;5,5;19;7;9;4,5
03.07 - 16.07.2020;38;15,5;5,5;20;7,5;9;4,5
01.06 - 13.06.2020;40;16;4,5;18,5;7;9,5;4,5
06.05 - 14.05.2020;38;15,5;5,5;19;7;9;6
01.04 - 15.04.2020;38;16;6;19;7;9;5
05.03 - 18.03.2020;29;16,5;7;23;8;11,5;5
01.02 - 12.02.2020;27,5;14,5;8;23;9,5;13;4,5
01.12 - 11.12.2019;28,5;15;7;21;8,5;15;5
02.11 - 13.11.2019;29,5;14;7,5;21,5;8;14,5;5
27.09 - 10.10.2019;29,5;16;6,5;23,5;7;13;4,5
01.09 - 12.09.2019;29;15;7;22;8;14;5
02.08 - 15.08.2019;29,5;13,5;7;24;8;12,5;5,5
01.07 - 11.07.2019;29,5;14,5;7;23;8,5;11,5;6
01.06 - 12.06.2019;29;12;8;25;8;12;6
03.05 - 16.05.2019;30;17,5;9;17;8,5;13;5
01.04 - 12.04.2019;30;18,5;9;18;8;12,5;4
07.03 - 21.03.2019;30;18;8,5;19;8,5;12;4
01.02 - 13.02.2019;30;18;8;18,5;8;13,5;4
05.01 - 17.01.2019;31,5;16,5;8,5;18;8,5;13;4
01.12 - 12.12.2018;29;16,5;8,5;19;9;14;4
02.11 - 15.11.2018;28;17;9,5;19;9;13,5;4
28.09 - 11.10.2018;29;19;8,5;15;9;15;4,5
01.09 - 13.09.2018;31,5;19,5;8,5;12,5;9;15;4
27.07 - 09.08.2018;31;20;9;12,5;9;14,5;4
01.07 - 12.07.2018;30,5;20;9,5;12;9;15;4,5
01.06 - 13.06.2018;33;21;9,5;11;9,5;13;3
24.04 - 08.05.2018;34;20;9;11;10;11,5;4,5
03.04 - 17.04.2018;34;20,5;10;11;9;12;3,5
02.03 - 15.03.2018;34;19;10;11;10;12,5;3,5
02.02 - 15.02.2018;32;17,5;11;12;9,5;13;5
05.01 - 18.01.2018;34;21;10;10,5;8,5;12;4
01.12 - 14.12.2017;34;21;10;11,5;9;11;3,5
22.11 - 27.11.2017;33;21,5;10;11;9;11;4,5
07.10 - 19.10.2017;33;20,5;12;9,5;9;12;4
13.09 - 20.09.2017;36;22;10,5;8;9,5;10;4
06.09 - 14.09.2017;36,5;22;11;8;9;10;3,5
22.08 - 31.08.2017;38,5;24;10;7,5;8;8;4
04.08 - 17.08.2017;39,5;24;10;7,5;8;7;4
01.07 - 12.07.2017;39,5;25;9;7;9;7;3,5
01.06 - 15.06.2017;40;24;10,5;7;8,5;6,5;3,5
05.05 - 19.05.2017;37;26;9;8;8;8;4
01.04 - 13.04.2017;36;31;6;7;9;7;4
06.03 - 19.03.2017;34;33;6,5;7,5;8;7;4
01.02 - 15.02.2017;33;30,5;7;8;8;8,5;5
05.01 - 19.01.2017;36;23;7;9;9,5;11,5;4
01.12 - 15.12.2016;35,5;22;7,5;10;9,5;10,5;5
28.10 - 10.11.2016;34;23;7,5;11;9;10,5;5
01.10 - 13.10.2016;33;22;7,5;12;9;12,5;4
03.09 - 15.09.2016;33,5;24;7;11;7;12,5;5
03.08 - 17.08.2016;34,5;23;7,5;11,5;9;10;4,5
01.07 - 14.07.2016;35,5;22,5;7;12;9,5;9,5;4
27.05 - 09.06.2016;33,5;21;8;12;9;11,5;5
28.04 - 12.05.2016;33,5;21;8;11,5;9;12,5;4,5
01.04 - 14.04.2016;33,5;23;8;11;9;10,5;5
26.02 - 10.03.2016;35;24,5;7;10;9;10,5;4
01.02 - 11.02.2016;33,5;24;7;10;10;10,5;5
07.01 - 21.01.2016;35;25;6,5;9;9,5;10;5
28.11 - 10.12.2015;38;26;5;9,5;8,5;8;5
01.11 - 12.11.2015;37,5;26;5,5;9,5;9,5;7;5
03.10 - 16.10.2015;38;26;5,5;9,5;9;7;5
01.09 - 12.09.2015;42;25,5;6;9,5;8,5;3,5;5
01.08 - 14.08.2015;41,5;26;5,5;9,5;9;3,5;5
01.07 - 13.07.2015;40,5;25,5;5,5;10;9,5;4;5
01.06 - 14.06.2015;41,5;26;5;10;8,5;4;5
02.05 - 18.05.2015;41,5;25,5;5;9,5;9;5;4,5
28.03 - 10.04.2015;40,5;26,5;5;9,5;8,5;6;4
01.03 - 12.03.2015;41,5;26;5;9,5;8;6;4
01.02 - 12.02.2015;41;25,5;5;9,5;9;6;4
09.01 - 23.01.2015;41,5;25;4;10,5;8,5;6;4,5
01.12 - 12.12.2014;40,5;26;3,5;9,5;8,5;7;5
01.11 - 13.11.2014;40,5;27;3,5;9,5;8;6,5;5
04.10 - 16.10.2014;39,5;26;3;10,5;8,5;7,5;5
01.09 - 11.09.2014;41;25,5;4;10;8,5;6,5;4,5
21.07 - 05.08.2014;41;26,5;3;10;8;6,5;5
28.06 - 11.07.2014;40,5;25;3,5;11;8,5;6;5,5
28.05 - 13.06.2014;40;26;4;10;8;6;6
25.04 - 09.05.2014;39,5;26;5;10,5;8;5,5;5,5
28.03 - 10.04.2014;40;26,5;4,5;11;8;5;5
01.03 - 13.03.2014;40,5;25;5;10;9;5;5,5
01.02 - 13.02.2014;40;26,5;4;10,5;9;5;5
10.01 - 23.01.2014;40;26;5;10;8,5;5;5,5
01.12 - 12.12.2013;41,5;25,5;4;10,5;9;4,5;5
08.11 - 21.11.2013;40;26,5;4;10;9,5;5;5
01.10 - 16.10.2013;41;25;5;9;9;5,5;5,5
16.09 - 19.09.2013;39,5;27;5,5;9;9;4,5;5,5
03.09 - 13.09.2013;39;26;6;11;9;3,5;5,5
20.08 - 31.08.2013;40;25;6;12,5;7,5;3;6
03.08 - 15.08.2013;39;24,5;7;13,5;7;3;6
01.07 - 11.07.2013;40;25,5;6,5;12,5;6;3,5;6
01.06 - 14.06.2013;38;26;6;14;7;3;6
04.05 - 17.05.2013;39;27;6;13;6;3,5;5,5
15.04 - 30.04.2013;38,5;26;5,5;15;6;3,5;5,5
27.03 - 12.04.2013;38,5;28;5;15;7;6,5;
01.03 - 14.03.2013;39,5;26,5;6;15,5;6;6,5;
01.02 - 14.02.2013;39;27;6;15;6,5;6,5;
05.01 - 18.01.2013;39;28;5;14;7;7;
01.12 - 13.12.2012;37,5;30;4,5;14;6,5;7,5;
26.10 - 08.11.2012;37,5;31;4;12,5;6,5;8,5;
23.10 - 06.11.2012;37,5;31;4;12,5;6,5;8,5;
28.09 - 12.10.2012;35,5;31;4,5;14;6;9;
03.09 - 17.09.2012;34;30;5,5;14;6,5;10;
01.08 - 13.08.2012;35;28;5,5;15;6;10,5;
01.07 - 12.07.2012;36;27;6;14;6;11;
04.06 - 15.06.2012;34;28;5,5;15,5;5;12;
05.05 - 19.05.2012;35,5;30;4,5;14;5,5;10,5;
01.04 - 13.04.2012;34,5;28;3,5;14;7;13;
03.03 - 15.03.2012;35;30;3,5;16;7;8,5;
04.02 - 16.02.2012;36;28;4,5;15,5;7,5;8,5;
07.01 - 21.01.2012;35;29;4;16,5;7;8,5;
21.11 - 04.12.2011;34;30;4;16;7;9;
28.10 - 11.11.2011;32;30;4,5;17;8;8,5;
04.10 - 16.10.2011;31;30,5;4,5;17,5;7,5;9;
16.09 - 30.09.2011;32;30;4,5;19;7,5;7;
02.09 - 16.09.2011;33,5;28,5;5;19;8;6;
12.08 - 27.08.2011;32;29,5;5;20;7,5;6;
30.07 - 13.08.2011;33;29;4,5;20;7,5;6;
02.07 - 15.07.2011;34;27;5,5;20;7,5;6;
03.06 - 18.06.2011;34,5;27,5;4,5;21;7;5,5;
02.05 - 14.05.2011;33;27;5,5;22;6,5;6;
01.04 - 16.04.2011;32;28;5;23;7;5;
26.02 - 13.03.2011;36,5;29;6,5;15;8;5;
04.02 - 17.02.2011;36;28,5;6,5;16,5;7,5;5;
07.01 - 21.01.2011;34,5;27,5;5,5;18;8,5;6;
27.11 - 10.12.2010;34;28,5;6;18,5;8;5;
06.11 - 18.11.2010;32;27,5;6;19,5;9;6;
01.10 - 14.10.2010;30,5;28;5,5;20,5;9,5;6;
03.09 - 16.09.2010;32,5;29,5;6,5;18,5;8;5;
01.08 - 12.08.2010;31;32;6;17;8,5;5,5;
02.07 - 15.07.2010;31,5;31,5;6,5;15,5;9,5;5,5;